2022-05-16 11:05:158 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 11:05:652 INFO  HomePage :52 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (79134a60b9ebdd8b64b9c378c4699158)] -> xpath: //a[@class='ico-register']]
2022-05-16 11:05:676 INFO  RegisterPage :83 - Getting text from : [[ChromeDriver: chrome on WINDOWS (79134a60b9ebdd8b64b9c378c4699158)] -> xpath: //h1[normalize-space()='Register']]
2022-05-16 11:05:985 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 11:05:69 INFO  HomePage :52 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (b8611d22820fda098122f22b0f671a24)] -> xpath: //a[@class='ico-register']]
2022-05-16 11:05:170 INFO  RegisterPage :89 - Clicking on RegisterButton : [[ChromeDriver: chrome on WINDOWS (b8611d22820fda098122f22b0f671a24)] -> xpath: //button[@id='register-button']]
2022-05-16 11:05:196 INFO  RegisterPage :93 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b8611d22820fda098122f22b0f671a24)] -> xpath: //span[@id='FirstName-error']]
2022-05-16 11:05:228 INFO  RegisterPage :98 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b8611d22820fda098122f22b0f671a24)] -> xpath: //span[@id='LastName-error']]
2022-05-16 11:05:272 INFO  RegisterPage :103 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b8611d22820fda098122f22b0f671a24)] -> xpath: //span[@id='Email-error']]
2022-05-16 11:05:305 INFO  RegisterPage :108 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b8611d22820fda098122f22b0f671a24)] -> xpath: //span[@id='Password-error']]
2022-05-16 11:05:60 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 11:05:353 INFO  HomePage :52 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (ed7d51734cc09731e2a0baa1b3f51eed)] -> xpath: //a[@class='ico-register']]
2022-05-16 11:05:427 INFO  RegisterPage :119 - Clicking on FemaleRadioButton : [[ChromeDriver: chrome on WINDOWS (ed7d51734cc09731e2a0baa1b3f51eed)] -> xpath: //input[@id='gender-female']]
2022-05-16 11:05:547 INFO  RegisterPage :124 - Enter firstname :sweety to firstname field 
2022-05-16 11:05:652 INFO  RegisterPage :129 - Enter LastName :smith to lastName field 
2022-05-16 11:05:754 INFO  RegisterPage :135 - select Day :10
2022-05-16 11:05:840 INFO  RegisterPage :140 - select Month :January
2022-05-16 11:05:923 INFO  RegisterPage :145 - select year :1998
2022-05-16 11:05:148 INFO  RegisterPage :150 - Enter Email :sweetysmith@gmail.com to emailfield 
2022-05-16 11:05:251 INFO  RegisterPage :155 - Enter Password :smith001 to passWordField 
2022-05-16 11:05:349 INFO  RegisterPage :160 - Enter confirmPassword :smith001 to confirmPassoword field 
2022-05-16 11:05:382 INFO  RegisterPage :89 - Clicking on RegisterButton : [[ChromeDriver: chrome on WINDOWS (ed7d51734cc09731e2a0baa1b3f51eed)] -> xpath: //button[@id='register-button']]
2022-05-16 11:05:404 INFO  RegisterSuccessPage :21 - Getting text from : [[ChromeDriver: chrome on WINDOWS (ed7d51734cc09731e2a0baa1b3f51eed)] -> xpath: //div[@class='result']]
2022-05-16 14:05:697 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 14:05:01 INFO  HomePage :67 - Clicking on ComputerLink : [[ChromeDriver: chrome on WINDOWS (525ae7e8832cbc1f1db03c3554dfa1d9)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-16 14:05:38 INFO  ComputerPage :26 - Getting text from : [[ChromeDriver: chrome on WINDOWS (525ae7e8832cbc1f1db03c3554dfa1d9)] -> xpath: //h1[normalize-space()='Computers']]
2022-05-16 14:05:779 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 14:05:121 INFO  HomePage :67 - Clicking on ComputerLink : [[ChromeDriver: chrome on WINDOWS (c52bdd8b0e51cd016f3cd14dcd3c4353)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-16 14:05:580 INFO  ComputerPage :32 - Clicking on desktopField : [[ChromeDriver: chrome on WINDOWS (c52bdd8b0e51cd016f3cd14dcd3c4353)] -> xpath: //li[@class='inactive']//a[normalize-space()='Desktops']]
2022-05-16 14:05:488 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 14:05:774 INFO  HomePage :67 - Clicking on ComputerLink : [[ChromeDriver: chrome on WINDOWS (31e45c81743ce2b67f1fdf61531ac5c0)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-16 14:05:221 INFO  ComputerPage :32 - Clicking on desktopField : [[ChromeDriver: chrome on WINDOWS (31e45c81743ce2b67f1fdf61531ac5c0)] -> xpath: //li[@class='inactive']//a[normalize-space()='Desktops']]
2022-05-16 14:05:741 INFO  DesktopPage :33 - Clicking on buidYourOwnComputer link : [[ChromeDriver: chrome on WINDOWS (31e45c81743ce2b67f1fdf61531ac5c0)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2022-05-16 14:05:853 INFO  BuildYourOwnComputerPage :58 - selectProcessor :2.2 GHz Intel Pentium Dual-Core E2200 from processorDropDownField 
2022-05-16 14:05:949 INFO  BuildYourOwnComputerPage :63 - selectRam  :2 GB from ramDropDownField 
2022-05-16 14:05:36 INFO  BuildYourOwnComputerPage :73 - Clicking on HddFormRadioButton : [[[ChromeDriver: chrome on WINDOWS (31e45c81743ce2b67f1fdf61531ac5c0)] -> xpath: //dd[@id='product_attribute_input_3']/descendant::li/child::label], [[ChromeDriver: chrome on WINDOWS (31e45c81743ce2b67f1fdf61531ac5c0)] -> xpath: //dd[@id='product_attribute_input_3']/descendant::li/child::label]]
2022-05-16 14:05:114 INFO  BuildYourOwnComputerPage :83 - Clicking on OsFormRadioButton : [[[ChromeDriver: chrome on WINDOWS (31e45c81743ce2b67f1fdf61531ac5c0)] -> xpath: //dd[@id='product_attribute_input_4']/descendant::li/child::label], [[ChromeDriver: chrome on WINDOWS (31e45c81743ce2b67f1fdf61531ac5c0)] -> xpath: //dd[@id='product_attribute_input_4']/descendant::li/child::label]]
2022-05-16 14:05:187 INFO  BuildYourOwnComputerPage :92 - selectSoftwareCheckBox  :Microsoft Office [+$50.00] from softwareCheckBoxField 
2022-05-16 14:05:247 INFO  BuildYourOwnComputerPage :97 - Clicking onAddToCartButton : [[ChromeDriver: chrome on WINDOWS (31e45c81743ce2b67f1fdf61531ac5c0)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-16 14:05:508 INFO  BuildYourOwnComputerPage :102 - Getting text from : [[ChromeDriver: chrome on WINDOWS (31e45c81743ce2b67f1fdf61531ac5c0)] -> xpath: //body/div[@id='bar-notification']/div[1]/p[1]]
2022-05-16 14:05:257 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 14:05:853 INFO  HomePage :67 - Clicking on ComputerLink : [[ChromeDriver: chrome on WINDOWS (ffe8d287f605c6d364639f61f00c448f)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Computers']]
2022-05-16 14:05:301 INFO  ComputerPage :32 - Clicking on desktopField : [[ChromeDriver: chrome on WINDOWS (ffe8d287f605c6d364639f61f00c448f)] -> xpath: //li[@class='inactive']//a[normalize-space()='Desktops']]
2022-05-16 14:05:896 INFO  DesktopPage :33 - Clicking on buidYourOwnComputer link : [[ChromeDriver: chrome on WINDOWS (ffe8d287f605c6d364639f61f00c448f)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2022-05-16 14:05:955 INFO  BuildYourOwnComputerPage :58 - selectProcessor :2.5 GHz Intel Pentium Dual-Core E2200 [+$15.00] from processorDropDownField 
